X,Y,KGISWardID,KGISWardCode,LGD_WardCode,KGISWardNo,KGISWardName,KGISTownCode
77.6131624913407,12.8599522614579,6966,2003226,,226,Kalena Agrahara,2003
77.5526488107249,12.9098118164677,6967,2003217,,217,Uttarahalli,2003
77.556636682581,12.915452449048,6968,2003206,,206,Padmanabha Nagar,2003
77.5625593941565,12.9234121132763,6969,2003202,,202,Ganesh Mandir ward,2003
77.5706918446078,12.9125055246211,6970,2003203,,203,Banashankari Temple ward,2003
77.5488779633267,12.9793408318139,5167,2003146,1302818,146,Dr. Raj Kumar Ward,2003
77.5400215853834,12.9816671133441,5170,2003147,1302819,147,Agrahara Dasarahalli,2003
77.5254284444834,12.9816152830104,5174,2003149,1302821,149,Kaveripura,2003
77.5316961949959,12.9774933810928,5171,2003148,1302820,148,Govindaraja Nagar,2003
77.5330576033127,12.9720208017003,5175,2003150,1302822,150,Marenahalli,2003
77.5297256414569,12.9668049580825,5178,2003151,1302823,151,Maruthi Mandir ward,2003
77.5233668404791,12.9727024159453,5179,2003152,1302824,152,Mudalapalya,2003
77.5174558515512,12.9597620433114,5182,2003153,1302825,153,Nagarabhavi,2003
77.5170304010573,12.9496183578508,5183,2003154,1302826,154,Chandra Layout,2003
77.5244779341024,12.9443587383859,5186,2003155,1302827,155,Nayandahalli,2003
77.5074619980879,13.0524371595832,4914,2003019,1303157,19,Defence Colony,2003
77.5066691084762,12.8813881293736,4946,2003035,1302707,35,Hemmigepura,2003
77.5968925244188,12.9562417642206,5239,2003182,1302854,182,Shanthi Nagar,2003
77.606472084534,12.95769383754,5242,2003183,1302855,183,Neelasandra,2003
77.6165882907521,12.9573161302697,5243,2003184,1302856,184,Vannarapete,2003
77.4831698927177,13.0002029558448,4934,2003029,1302701,29,Vidyamanyanagar,2003
